Team 1,Team 2,Date,t1_win_tf,t1_win_akkio,t1_win_player,Winner_tf,Winner_akkio,Winner_player,Correct_tf,Correct_akkio,Correct_player
100 Thieves,Golden Guardians,25/06/2022,0.58607,0.00015,0.00169,100 Thieves,Golden Guardians,100 Thieves,Y,N,Y
Team Liquid,TSM,25/06/2022,0.50002,0.99987,0.99993,Team Liquid,Team Liquid,Team Liquid,N,N,N
Evil Geniuses,Immortals,25/06/2022,0.61045,0.99986,0.0,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
Counter Logic Gaming,FlyQuest,25/06/2022,0.54364,0.99987,0.99846,Counter Logic Gaming,Counter Logic Gaming,Counter Logic Gaming,N,N,N
Hanwha Life Esports,Nongshim RedForce,26/06/2022,0.28685,0.49533,0.99719,Nongshim RedForce,Nongshim RedForce,Nongshim RedForce,Y,Y,Y
DRX,Kwangdong Freecs,26/06/2022,0.81295,0.99986,0.0038,DRX,DRX,DRX,Y,Y,Y
Golden Guardians,TSM,26/06/2022,0.51295,0.55808,0.74777,Golden Guardians,Golden Guardians,TSM,Y,Y,N
FlyQuest,Team Liquid,26/06/2022,0.47382,0.00013,0.00061,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
100 Thieves,Cloud9,26/06/2022,0.74401,0.50486,0.99949,100 Thieves,100 Thieves,100 Thieves,N,N,N
Counter Logic Gaming,Evil Geniuses,26/06/2022,0.50159,0.9999,0.79815,Counter Logic Gaming,Counter Logic Gaming,Evil Geniuses,Y,Y,N
Dignitas,Immortals,26/06/2022,0.49992,0.49916,0.07856,Immortals,Immortals,Immortals,N,N,N
DWG KIA,Nongshim RedForce,03/07/2022,0.72847,0.99985,0.18129,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
Hanwha Life Esports,KT Rolster,03/07/2022,0.39427,0.49789,0.25037,KT Rolster,KT Rolster,KT Rolster,Y,Y,Y
Dignitas,TSM,03/07/2022,0.54016,0.49333,0.86399,Dignitas,TSM,TSM,Y,N,N
Evil Geniuses,Golden Guardians,03/07/2022,0.90959,0.47143,0.00046,Evil Geniuses,Golden Guardians,Evil Geniuses,Y,N,Y
Cloud9,FlyQuest,03/07/2022,0.36662,0.00015,0.88609,FlyQuest,FlyQuest,FlyQuest,Y,Y,Y
Counter Logic Gaming,Team Liquid,03/07/2022,0.47206,0.49555,0.6291,Team Liquid,Team Liquid,Counter Logic Gaming,Y,Y,N
100 Thieves,Immortals,03/07/2022,0.98623,0.50545,0.99997,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
KT Rolster,Nongshim RedForce,06/07/2022,0.54983,0.99984,0.7091,KT Rolster,KT Rolster,KT Rolster,Y,Y,Y
Fredit BRION,Kwangdong Freecs,06/07/2022,0.49994,0.49503,0.00132,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs,Y,Y,Y
DRX,DWG KIA,07/07/2022,0.47662,0.00018,0.50557,DWG KIA,DWG KIA,DRX,N,N,Y
Hanwha Life Esports,Liiv SANDBOX,07/07/2022,0.40558,0.50084,0.99874,Liiv SANDBOX,Hanwha Life Esports,Liiv SANDBOX,Y,N,Y
Gen.G,T1,08/07/2022,0.81763,0.99989,0.0351,Gen.G,Gen.G,Gen.G,N,N,N
KT Rolster,Kwangdong Freecs,08/07/2022,0.67031,0.49612,0.96661,KT Rolster,Kwangdong Freecs,KT Rolster,N,Y,N
Liiv SANDBOX,Nongshim RedForce,09/07/2022,0.8632,0.49667,0.94948,Liiv SANDBOX,Nongshim RedForce,Liiv SANDBOX,Y,N,Y
DWG KIA,Hanwha Life Esports,09/07/2022,0.90423,0.99985,0.99998,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
DRX,Gen.G,10/07/2022,0.49983,0.0001,0.40697,Gen.G,Gen.G,DRX,Y,Y,N
Fredit BRION,T1,10/07/2022,0.10542,0.00014,0.0,T1,T1,T1,Y,Y,Y
Hanwha Life Esports,T1,13/07/2022,0.0836,0.00014,1.0,T1,T1,T1,Y,Y,Y
Gen.G,Liiv SANDBOX,13/07/2022,0.50585,0.99986,0.36095,Gen.G,Gen.G,Gen.G,Y,Y,Y
DRX,KT Rolster,14/07/2022,0.75238,0.99985,0.93113,DRX,DRX,DRX,N,N,N
DWG KIA,Kwangdong Freecs,14/07/2022,0.84121,0.99986,0.01377,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
Astralis,Excel Esports,15/07/2022,0.15405,0.00014,0.00079,Excel Esports,Excel Esports,Excel Esports,N,N,N
MAD Lions,Team BDS,15/07/2022,0.96715,0.99986,0.99729,MAD Lions,MAD Lions,MAD Lions,Y,Y,Y
Fnatic,Misfits Gaming,15/07/2022,0.77394,0.99986,0.97808,Fnatic,Fnatic,Fnatic,N,N,N
G2 Esports,SK Gaming,15/07/2022,0.87628,0.9998,1.0,G2 Esports,G2 Esports,G2 Esports,N,N,N
Rogue,Team Vitality,15/07/2022,0.51096,0.99904,0.77691,Rogue,Rogue,Rogue,Y,Y,Y
KT Rolster,Kwangdong Freecs,15/07/2022,0.62668,0.49885,0.0003,KT Rolster,Kwangdong Freecs,KT Rolster,Y,N,Y
DRX,T1,15/07/2022,0.42388,0.00013,0.9998,T1,T1,T1,Y,Y,Y
Excel Esports,SK Gaming,16/07/2022,0.91281,0.99986,0.99998,Excel Esports,Excel Esports,Excel Esports,N,N,N
Astralis,MAD Lions,16/07/2022,0.28706,0.00014,0.43077,MAD Lions,MAD Lions,MAD Lions,Y,Y,Y
Rogue,Team BDS,16/07/2022,0.92376,0.99986,0.99971,Rogue,Rogue,Rogue,Y,Y,Y
G2 Esports,Misfits Gaming,16/07/2022,0.60423,0.49718,0.6953,G2 Esports,Misfits Gaming,G2 Esports,N,Y,N
Fnatic,Team Vitality,16/07/2022,0.63157,0.99988,0.65912,Fnatic,Fnatic,Fnatic,N,N,N
100 Thieves,FlyQuest,16/07/2022,0.62489,0.00014,0.28019,100 Thieves,FlyQuest,100 Thieves,N,Y,N
Dignitas,Evil Geniuses,16/07/2022,0.06881,0.00014,0.9999,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
Cloud9,TSM,16/07/2022,0.62112,0.49385,0.70606,Cloud9,TSM,Cloud9,Y,N,Y
Counter Logic Gaming,Immortals,16/07/2022,0.93661,0.99986,0.99997,Counter Logic Gaming,Counter Logic Gaming,Counter Logic Gaming,Y,Y,Y
Golden Guardians,Team Liquid,16/07/2022,0.21377,0.00052,0.01631,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
DWG KIA,Fredit BRION,17/07/2022,0.76201,0.99986,0.0,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
Gen.G,Nongshim RedForce,17/07/2022,0.74058,0.99986,0.04171,Gen.G,Gen.G,Gen.G,Y,Y,Y
FlyQuest,TSM,17/07/2022,0.93427,0.99986,0.00847,FlyQuest,FlyQuest,FlyQuest,N,N,N
100 Thieves,Counter Logic Gaming,17/07/2022,0.59234,0.00014,0.50166,100 Thieves,Counter Logic Gaming,100 Thieves,Y,N,Y
Evil Geniuses,Team Liquid,17/07/2022,0.50256,0.00014,0.3842,Evil Geniuses,Team Liquid,Evil Geniuses,Y,N,Y
Cloud9,Immortals,17/07/2022,0.70566,0.99985,0.01071,Cloud9,Cloud9,Cloud9,N,N,N
Dignitas,Golden Guardians,17/07/2022,0.49601,0.5046,0.39107,Golden Guardians,Dignitas,Golden Guardians,Y,Y,Y
DRX,Fredit BRION,20/07/2022,0.87917,0.99985,1.0,DRX,DRX,DRX,Y,Y,Y
DWG KIA,Nongshim RedForce,20/07/2022,0.92833,0.99986,0.99937,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
Kwangdong Freecs,T1,21/07/2022,0.19445,0.00014,0.0,T1,T1,T1,Y,Y,Y
Hanwha Life Esports,KT Rolster,21/07/2022,0.41071,0.4969,1.0,KT Rolster,KT Rolster,KT Rolster,Y,Y,Y
SK Gaming,Team BDS,22/07/2022,0.70832,0.50025,0.62843,SK Gaming,SK Gaming,SK Gaming,Y,Y,Y
Excel Esports,Misfits Gaming,22/07/2022,0.73184,0.99986,0.69511,Excel Esports,Excel Esports,Excel Esports,Y,Y,Y
Astralis,G2 Esports,22/07/2022,0.35747,0.5026,0.03107,G2 Esports,Astralis,G2 Esports,Y,N,Y
MAD Lions,Team Vitality,22/07/2022,0.65091,0.9999,0.86579,MAD Lions,MAD Lions,MAD Lions,Y,Y,Y
Fnatic,Rogue,22/07/2022,0.41833,0.00011,0.08761,Rogue,Rogue,Rogue,Y,Y,Y
Gen.G,Liiv SANDBOX,22/07/2022,0.74064,0.99986,0.93063,Gen.G,Gen.G,Gen.G,Y,Y,Y
DRX,DWG KIA,22/07/2022,0.3,0.00012,0.89976,DWG KIA,DWG KIA,DWG KIA,N,N,N
Astralis,Team BDS,23/07/2022,0.51081,0.49861,0.99995,Astralis,Team BDS,Astralis,Y,N,Y
MAD Lions,SK Gaming,23/07/2022,0.57076,0.99986,0.99997,MAD Lions,MAD Lions,MAD Lions,Y,Y,Y
Misfits Gaming,Team Vitality,23/07/2022,0.48275,0.00016,0.90169,Team Vitality,Team Vitality,Misfits Gaming,Y,Y,N
G2 Esports,Rogue,23/07/2022,0.43317,0.00014,0.11427,Rogue,Rogue,Rogue,N,N,N
Excel Esports,Fnatic,23/07/2022,0.52652,0.99988,0.96872,Excel Esports,Excel Esports,Excel Esports,Y,Y,Y
Fredit BRION,T1,23/07/2022,0.06644,0.00014,1.0,T1,T1,T1,Y,Y,Y
KT Rolster,Nongshim RedForce,23/07/2022,0.68187,0.99969,1e-05,KT Rolster,KT Rolster,KT Rolster,Y,Y,Y
Cloud9,Dignitas,23/07/2022,0.70784,0.99985,0.84957,Cloud9,Cloud9,Cloud9,Y,Y,Y
Immortals,Team Liquid,23/07/2022,0.03617,0.00014,0.0,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
100 Thieves,TSM,23/07/2022,0.90176,0.9994,0.99951,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
Counter Logic Gaming,Evil Geniuses,23/07/2022,0.11139,0.00014,4e-05,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
FlyQuest,Golden Guardians,23/07/2022,0.70854,0.99985,0.76836,FlyQuest,FlyQuest,FlyQuest,Y,Y,Y
Kwangdong Freecs,Liiv SANDBOX,24/07/2022,0.16596,0.50233,0.99532,Liiv SANDBOX,Kwangdong Freecs,Liiv SANDBOX,Y,N,Y
Gen.G,Hanwha Life Esports,24/07/2022,0.99331,0.99986,1.0,Gen.G,Gen.G,Gen.G,Y,Y,Y
Counter Logic Gaming,Team Liquid,24/07/2022,0.07554,0.00014,0.00274,Team Liquid,Team Liquid,Team Liquid,N,N,N
Cloud9,Golden Guardians,24/07/2022,0.70018,0.99986,0.50987,Cloud9,Cloud9,Cloud9,Y,Y,Y
100 Thieves,Evil Geniuses,24/07/2022,0.21716,0.00014,0.00179,Evil Geniuses,Evil Geniuses,Evil Geniuses,N,N,N
Immortals,TSM,24/07/2022,0.29133,0.50319,0.16986,TSM,Immortals,TSM,N,Y,N
Dignitas,FlyQuest,24/07/2022,0.09551,0.00015,0.00458,FlyQuest,FlyQuest,FlyQuest,Y,Y,Y
KT Rolster,T1,27/07/2022,0.43526,0.00014,0.03374,T1,T1,T1,Y,Y,Y
DWG KIA,Hanwha Life Esports,27/07/2022,0.87698,0.99986,0.0,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
Liiv SANDBOX,Nongshim RedForce,28/07/2022,0.66958,0.4989,1e-05,Liiv SANDBOX,Nongshim RedForce,Liiv SANDBOX,N,Y,N
DRX,Gen.G,28/07/2022,0.48122,0.00014,0.00038,Gen.G,Gen.G,Gen.G,Y,Y,Y
Astralis,SK Gaming,29/07/2022,0.50021,0.49945,0.99992,Astralis,SK Gaming,Astralis,N,Y,N
Misfits Gaming,Rogue,29/07/2022,0.4352,0.00014,0.00145,Rogue,Rogue,Rogue,N,N,N
Excel Esports,Team Vitality,29/07/2022,0.51219,0.99989,0.99968,Excel Esports,Excel Esports,Excel Esports,N,N,N
G2 Esports,Team BDS,29/07/2022,0.50674,0.9998,1.0,G2 Esports,G2 Esports,G2 Esports,Y,Y,Y
Fnatic,MAD Lions,29/07/2022,0.49997,0.00014,0.00013,MAD Lions,MAD Lions,MAD Lions,Y,Y,Y
Fredit BRION,Kwangdong Freecs,29/07/2022,0.49992,0.49831,0.99971,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs,Y,Y,Y
DWG KIA,KT Rolster,29/07/2022,0.52273,0.99986,0.01498,DWG KIA,DWG KIA,DWG KIA,N,N,N
Misfits Gaming,SK Gaming,30/07/2022,0.36992,0.49957,0.99739,SK Gaming,SK Gaming,Misfits Gaming,N,N,Y
Astralis,Rogue,30/07/2022,0.21119,0.00014,0.07059,Rogue,Rogue,Rogue,N,N,N
Excel Esports,MAD Lions,30/07/2022,0.43187,0.00011,0.21543,MAD Lions,MAD Lions,MAD Lions,Y,Y,Y
Fnatic,Team BDS,30/07/2022,0.91981,0.99983,0.99991,Fnatic,Fnatic,Fnatic,Y,Y,Y
G2 Esports,Team Vitality,30/07/2022,0.63866,0.00015,0.99349,G2 Esports,Team Vitality,G2 Esports,N,Y,N
DRX,Liiv SANDBOX,30/07/2022,0.35371,0.50431,0.52229,Liiv SANDBOX,DRX,Liiv SANDBOX,Y,N,Y
Gen.G,T1,30/07/2022,0.56701,0.9999,0.50012,Gen.G,Gen.G,Gen.G,Y,Y,Y
Cloud9,FlyQuest,30/07/2022,0.27158,0.00014,0.44492,FlyQuest,FlyQuest,FlyQuest,N,N,N
100 Thieves,Dignitas,30/07/2022,0.96323,0.99985,1.0,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
Team Liquid,TSM,30/07/2022,0.93153,0.99986,1.0,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
Counter Logic Gaming,Golden Guardians,30/07/2022,0.53979,0.50262,0.54177,Counter Logic Gaming,Counter Logic Gaming,Counter Logic Gaming,Y,Y,Y
Evil Geniuses,Immortals,30/07/2022,0.98934,0.99986,0.0,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
Hanwha Life Esports,Kwangdong Freecs,31/07/2022,0.30201,0.49898,1.0,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs,Y,Y,Y
Fredit BRION,Nongshim RedForce,31/07/2022,0.42568,0.50059,0.0,Nongshim RedForce,Fredit BRION,Nongshim RedForce,N,Y,N
Golden Guardians,TSM,31/07/2022,0.69016,0.49731,0.99868,Golden Guardians,TSM,Golden Guardians,N,Y,N
Evil Geniuses,FlyQuest,31/07/2022,0.81985,0.99986,1e-05,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
Cloud9,Team Liquid,31/07/2022,0.39388,0.00013,0.00502,Team Liquid,Team Liquid,Team Liquid,N,N,N
100 Thieves,Immortals,31/07/2022,0.98324,0.99986,1.0,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
Counter Logic Gaming,Dignitas,31/07/2022,0.80178,0.99981,0.99998,Counter Logic Gaming,Counter Logic Gaming,Counter Logic Gaming,Y,Y,Y
DWG KIA,Liiv SANDBOX,03/08/2022,0.57953,0.99986,0.91153,DWG KIA,DWG KIA,DWG KIA,N,N,N
Gen.G,Kwangdong Freecs,03/08/2022,0.80822,0.99986,1.0,Gen.G,Gen.G,Gen.G,Y,Y,Y
Fredit BRION,KT Rolster,04/08/2022,0.42745,0.50007,0.0,KT Rolster,Fredit BRION,KT Rolster,Y,N,Y
Hanwha Life Esports,T1,04/08/2022,0.12314,0.00014,0.0,T1,T1,T1,Y,Y,Y
Astralis,Misfits Gaming,05/08/2022,0.58441,0.49971,0.54346,Astralis,Misfits Gaming,Astralis,N,Y,Y
Team BDS,Team Vitality,05/08/2022,0.05338,0.00014,0.0,Team Vitality,Team Vitality,Team Vitality,Y,Y,Y
Fnatic,SK Gaming,05/08/2022,0.61255,0.99984,0.99997,Fnatic,Fnatic,Fnatic,Y,Y,Y
Excel Esports,G2 Esports,05/08/2022,0.54147,0.99985,0.07832,Excel Esports,Excel Esports,G2 Esports,N,N,Y
MAD Lions,Rogue,05/08/2022,0.70017,0.99987,0.98958,MAD Lions,MAD Lions,MAD Lions,N,N,N
DRX,Nongshim RedForce,05/08/2022,0.67596,0.99794,0.0,DRX,DRX,DRX,Y,Y,Y
DWG KIA,Gen.G,05/08/2022,0.32276,0.0001,1.0,Gen.G,Gen.G,Gen.G,Y,Y,Y
G2 Esports,Misfits Gaming,27/08/2022,0.815,1.0,0.998,G2 Esports,G2 Esports,G2 Esports,Y,Y,Y
100 Thieves,Team Liquid,27/08/2022,0.6,0.0,0.782,100 Thieves,Team Liquid,100 Thieves,Y,Y,Y
Gen.G,T1,28/08/2022,0.786,1.0,0.917,Gen.G,Gen.G,Gen.G,Y,Y,Y
Excel Esports,Fnatic,28/08/2022,0.51793,0.00025,0.60886,Excel Esports,Fnatic,Excel Esports,N,Y,N
Cloud9,Evil Geniuses,28/08/2022,0.28062,0.00012,0.022,Evil Geniuses,Evil Geniuses,Evil Geniuses,N,N,N
DWG KIA,Liiv SANDBOX,01/09/2022,0.34328,0.3708,0.0,Liiv SANDBOX,Liiv SANDBOX,Liiv SANDBOX,Y,Y,Y
Counter Logic Gaming,Team Liquid,01/09/2022,0.44806,0.0001,0.00057,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
DRX, KT Rolster,02/09/2022,0.34242,0.75783,0.35375,KT Rolster,DRX,KT Rolster,N,Y,N
Evil Geniuses,TSM,02/09/2022,0.94975,0.9999,1.0,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
G2 Esports,Rogue,03/09/2022,0.67039,0.00177,0.63632,G2 Esports,Rogue,G2 Esports,Y,Y,Y
DRX,Liiv SANDBOX,03/09/2022,0.33502,0.63823,0.00151,Liiv SANDBOX,DRX,Liiv SANDBOX,N,Y,N
100 Thieves,Cloud9,03/09/2022,0.6379,0.75029,0.84573,100 Thieves,100 Thieves,100 Thieves,N,N,N
Fnatic,MAD Lions,04/09/2022,0.2772,0.00014,0.00095,MAD Lions,MAD Lions,MAD Lions,N,N,N
Evil Geniuses,Team Liquid,04/09/2022,0.7319,0.60476,0.94736,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
Fnatic,LOUD,01/10/2022,0.98399,0.9999,0.9995,Fnatic,Fnatic,Fnatic,N,N,N
MAD Lions,Saigon Buffalo,01/10/2022,0.38009,0.70495,0.43495,Saigon Buffalo,MAD Lions,Saigon Buffalo,N,Y,N
Beyond Gaming,DetonatioN FocusMe,01/10/2022,0.93606,0.00017,0.68539,Beyond Gaming,DetonatioN FocusMe,Beyond Gaming,N,Y,N
Chiefs Esports Club,Evil Geniuses,01/10/2022,0.04881,0.89732,0.00282,Evil Geniuses,Chiefs Esports Club,Evil Geniuses,Y,N,Y
Isurus,Royal Never Give Up,01/10/2022,0.00364,0.0001,0.00387,Royal Never Give Up,Royal Never Give Up,Royal Never Give Up,Y,Y,Y
Beyond Gaming,Chiefs Esports Club,01/10/2022,0.69303,0.10262,0.91325,Beyond Gaming,Chiefs Esports Club,Beyond Gaming,Y,N,Y
İstanbul Wildcats,Royal Never Give Up,01/10/2022,0.02072,0.0001,0.23063,Royal Never Give Up,Royal Never Give Up,Royal Never Give Up,Y,Y,Y
DRX,Isurus,01/10/2022,0.99986,0.9999,0.99996,DRX,DRX,DRX,Y,Y,Y
Beyond Gaming,Fnatic,02/10/2022,0.34333,0.0001,0.26917,Fnatic,Fnatic,Fnatic,Y,Y,Y
Chiefs Esports Club,LOUD,02/10/2022,0.34215,0.89732,0.00857,LOUD,Chiefs Esports Club,LOUD,Y,N,Y
DetonatioN FocusMe,Evil Geniuses,02/10/2022,0.29231,0.77477,0.43674,Evil Geniuses,DetonatioN FocusMe,Evil Geniuses,N,Y,N
İstanbul Wildcats,Isurus,02/10/2022,0.5,0.37026,0.89222,İstanbul Wildcats,Isurus,İstanbul Wildcats,N,Y,N
DRX,MAD Lions,02/10/2022,0.50092,0.5448,0.86922,DRX,DRX,DRX,Y,Y,Y
Royal Never Give Up,Saigon Buffalo,02/10/2022,0.502,0.9999,0.98636,Royal Never Give Up,Royal Never Give Up,Royal Never Give Up,Y,Y,Y
MAD Lions,Saigon Buffalo,03/10/2022,0.81569,0.9999,0.98955,MAD Lions,MAD Lions,MAD Lions,Y,Y,Y
Evil Geniuses,MAD Lions,04/10/2022,0.50438,0.16565,0.4955,Evil Geniuses,MAD Lions,MAD Lions,Y,N,N
DetonatioN FocusMe,Royal Never Give Up,04/10/2022,0.49992,0.67471,0.55734,Royal Never Give Up,DetonatioN FocusMe,DetonatioN FocusMe,Y,N,N
Cloud9,Fnatic,13/10/2022,0.31608,0.62974,0.04471,Fnatic,Cloud9,Fnatic,N,Y,N
Fnatic,T1,13/10/2022,0.03088,0.0001,0.00604,T1,T1,T1,Y,Y,Y
Cloud9,EDward Gaming,13/10/2022,0.02185,0.0001,0.04493,EDward Gaming,EDward Gaming,EDward Gaming,Y,Y,Y
EDward Gaming,Fnatic,13/10/2022,0.95421,0.9999,0.70216,EDward Gaming,EDward Gaming,EDward Gaming,Y,Y,Y
Cloud9,T1,13/10/2022,0.01848,0.0001,0.00033,T1,T1,T1,Y,Y,Y
EDward Gaming,T1,13/10/2022,0.41782,0.54482,0.09343,T1,EDward Gaming,T1,Y,N,Y
Evil Geniuses,G2 Esports,17/10/2022,0.49875,0.39548,0.47492,G2 Esports,G2 Esports,G2 Esports,N,N,N
Evil Geniuses,JD Gaming,17/10/2022,0.10392,0.93691,0.0,JD Gaming,Evil Geniuses,JD Gaming,Y,N,Y
DWG KIA,G2 Esports,17/10/2022,0.95429,0.9999,1.0,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
G2 Esports,JD Gaming,17/10/2022,0.11746,0.94869,0.0,JD Gaming,G2 Esports,JD Gaming,Y,N,Y
DWG KIA,Evil Geniuses,17/10/2022,0.95021,0.9999,1.0,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
DWG KIA,JD Gaming,17/10/2022,0.54869,0.81834,0.36433,DWG KIA,DWG KIA,JD Gaming,Y,Y,N
GAM Esports,Rogue,17/10/2022,0.41504,0.79286,0.00054,Rogue,GAM Esports,Rogue,Y,N,Y
GAM Esports,Top Esports,17/10/2022,0.05497,0.0001,0.00088,Top Esports,Top Esports,Top Esports,N,N,N
DRX,Rogue,17/10/2022,0.69274,0.9999,0.41961,DRX,DRX,Rogue,Y,Y,N
DRX,GAM Esports,17/10/2022,0.98994,0.9999,0.9972,DRX,DRX,DRX,Y,Y,Y
Rogue,Top Esports,17/10/2022,0.31889,0.0001,0.5911,Top Esports,Top Esports,Rogue,Y,Y,N
DRX,Top Esports,17/10/2022,0.50635,0.5448,0.42242,DRX,DRX,Top Esports,N,N,Y
100 Thieves,CTBC Flying Oyster,17/10/2022,0.67474,0.60452,0.53967,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
CTBC Flying Oyster,Gen.G,17/10/2022,0.0066,0.0001,6e-05,Gen.G,Gen.G,Gen.G,Y,Y,Y
100 Thieves,Royal Never Give Up,17/10/2022,0.08062,0.0001,0.00016,Royal Never Give Up,Royal Never Give Up,Royal Never Give Up,Y,Y,Y
100 Thieves,Gen.G,17/10/2022,0.03311,0.0001,1e-05,Gen.G,Gen.G,Gen.G,Y,Y,Y
CTBC Flying Oyster,Royal Never Give Up,17/10/2022,0.02852,0.0001,0.00105,Royal Never Give Up,Royal Never Give Up,Royal Never Give Up,Y,Y,Y
Gen.G,Royal Never Give Up,17/10/2022,0.64379,0.45075,0.93894,Gen.G,Royal Never Give Up,Gen.G,Y,N,Y
JD Gaming,Rogue,20/10/2022,0.91557,0.9999,0.99996,JD Gaming,JD Gaming,JD Gaming,Y,Y,Y
Royal Never Give Up,T1,21/10/2022,0.47101,0.54924,0.26052,T1,Royal Never Give Up,T1,Y,N,Y
DWG KIA,Gen.G,22/10/2022,0.5,0.39528,0.26588,DWG KIA,Gen.G,Gen.G,N,Y,Y
DRX,EDward Gaming,23/10/2022,0.53376,0.60472,0.38526,DRX,DRX,EDward Gaming,Y,Y,N
JD Gaming,T1,29/10/2022,0.35282,0.57506,0.4995,T1,JD Gaming,T1,Y,N,Y
DRX,Gen.G,30/10/2022,0.50373,0.45076,0.00066,DRX,Gen.G,Gen.G,Y,N,N
DRX,T1,05/11/2022,0.49935,0.57506,0.00014,T1,DRX,T1,N,Y,N
DRX,Hanwha Life Esports,03/02/2023,0.4187,0.62964,0.01082,Hanwha Life Esports,DRX,Hanwha Life Esports,,,
Nongshim RedForce,T1,03/02/2023,0.35089,0.00165,0.0005,T1,T1,T1,,,
Cloud9,FlyQuest,03/02/2023,0.50748,0.46993,0.9217,Cloud9,FlyQuest,Cloud9,,,
Dignitas,Evil Geniuses,03/02/2023,0.0293,0.00165,0.00179,Evil Geniuses,Evil Geniuses,Evil Geniuses,,,
100 Thieves,TSM,03/02/2023,0.65409,0.99835,0.94062,100 Thieves,100 Thieves,100 Thieves,,,
Golden Guardians,Team Liquid,03/02/2023,0.1827,0.00169,0.05488,Team Liquid,Team Liquid,Team Liquid,,,
Counter Logic Gaming,Immortals,03/02/2023,0.65442,0.45538,0.9866,Counter Logic Gaming,Immortals,Counter Logic Gaming,,,
Astralis,SK Gaming,04/02/2023,0.13249,0.5,0.00582,SK Gaming,SK Gaming,SK Gaming,,,
Excel Esports,Team Heretics,04/02/2023,0.49977,0.5,0.36961,Team Heretics,Team Heretics,Team Heretics,,,
G2 Esports,Team BDS,04/02/2023,0.49973,0.5,0.50005,Team BDS,Team BDS,G2 Esports,,,
Fnatic,MAD Lions,04/02/2023,0.43293,0.00165,0.4971,MAD Lions,MAD Lions,MAD Lions,,,
KOI,Team Vitality,04/02/2023,0.31762,0.00165,2e-05,Team Vitality,Team Vitality,Team Vitality,,,
BRION,KT Rolster,04/02/2023,0.54722,0.43011,0.7993,BRION,KT Rolster,BRION,,,
Dplus KIA,Kwangdong Freecs,04/02/2023,0.75116,0.99835,0.99979,Dplus KIA,Dplus KIA,Dplus KIA,,,
Excel Esports,SK Gaming,05/02/2023,0.02424,0.55976,0.25453,SK Gaming,Excel Esports,SK Gaming,,,
Team BDS,Team Vitality,05/02/2023,0.57457,0.5,0.33156,Team BDS,Team Vitality,Team Vitality,,,
MAD Lions,Team Heretics,05/02/2023,0.95114,0.99835,0.04495,MAD Lions,MAD Lions,Team Heretics,,,
Team BDS,Team Heretics,06/02/2023,0.73823,,0.35781,Team BDS,,Team Heretics,,,
Astralis,KOI,06/02/2023,0.4963,,0.79503,KOI,,Astralis,,,
Fnatic,SK Gaming,06/02/2023,0.43538,,0.28528,SK Gaming,,SK Gaming,,,
G2 Esports,MAD Lions,06/02/2023,0.5002,,0.68401,G2 Esports,,G2 Esports,,,
Excel Esports,Team Vitality,06/02/2023,0.03504,,0.00342,Team Vitality,,Team Vitality,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.24377,,0.23045,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.12545,,0.09798,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.21679,,0.01259,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.16723,,0.00083,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.46852,,0.02108,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.52237,,0.00061,BRION,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.31066,,0.23723,Liiv SANDBOX,,Liiv SANDBOX,,,
