Team 1,Team 2,Date,t1_win_tf,t1_win_akkio,t1_win_player,Winner_tf,Winner_akkio,Winner_player,Correct_tf,Correct_akkio,Correct_player
Astralis,Team BDS,25/02/2022,0.25,0.535,-,Team BDS,Astralis,-,Y,N,-
SK Gaming,Team Vitality,25/02/2022,0.131,0.001,-,Team Vitality,Team Vitality,-,Y,Y,-
Fnatic,Rogue,25/02/2022,0.249,0.103,-,Rogue,Rogue,-,N,N,-
G2 Esports,Misfits Gaming,25/02/2022,0.508,0.999,-,G2 Esports,G2 Esports,-,N,N,-
Cloud9,Dignitas,25/02/2022,0.321,0.001,-,Dignitas,Dignitas,-,N,N,-
Golden Guardians,Team Liquid,25/02/2022,0.313,0.976,-,Team Liquid,Golden Guardians,-,N,Y,-
100 Thieves,TSM,25/02/2022,0.996,0.999,-,100 Thieves,100 Thieves,-,Y,Y,-
Counter Logic Gaming,Immortals,25/02/2022,0.257,0.492,-,Immortals,Immortals,-,Y,Y,-
Evil Geniuses,FlyQuest,25/02/2022,0.049,0.506,-,FlyQuest,Evil Geniuses,-,N,Y,-
Gen.G,Nongshim RedForce,25/02/2022,0.921,0.999,-,Gen.G,Gen.G,-,Y,Y,-
DWG KIA,Kwangdong Freecs,25/02/2022,0.674,0.999,-,DWG KIA,DWG KIA,-,Y,Y,-
Fnatic,MAD Lions,26/02/2022,0.712,0.999,0.999,Fnatic,Fnatic,Fnatic,Y,Y,Y
G2 Esports,Team BDS,26/02/2022,0.815,0.999,1.0,G2 Esports,G2 Esports,G2 Esports,Y,Y,Y
Excel Esports,Rogue,26/02/2022,0.069,0.001,0.0,Rogue,Rogue,Rogue,Y,Y,Y
Astralis,SK Gaming,26/02/2022,0.514,0.491,0.994,Astralis,SK Gaming,Astralis,Y,N,Y
Misfits Gaming,Team Vitality,26/02/2022,0.6,0.001,0.0,Misfits Gaming,Team Vitality,Team Vitality,N,Y,Y
Evil Geniuses,Golden Guardians,26/02/2022,0.512,0.001,0.819,Evil Geniuses,Golden Guardians,Evil Geniuses,Y,N,Y
FlyQuest,Immortals,26/02/2022,0.464,0.001,1.0,Immortals,Immortals,FlyQuest,Y,Y,N
100 Thieves,Cloud9,26/02/2022,0.627,0.999,0.908,100 Thieves,100 Thieves,100 Thieves,N,N,N
Counter Logic Gaming,TSM,26/02/2022,0.57,0.49,0.531,Counter Logic Gaming,TSM,Counter Logic Gaming,Y,N,Y
Dignitas,Team Liquid,26/02/2022,0.097,0.001,0.0,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
Hanwha Life Esports,T1,26/02/2022,0.092,0.001,0.0,T1,T1,T1,Y,Y,Y
Fredit BRION,KT Rolster,26/02/2022,0.602,0.494,0.983,Fredit BRION,KT Rolster,Fredit BRION,Y,N,Y
DRX,Gen.G,27/02/2022,0.142,0.001,0.0,Gen.G,Gen.G,Gen.G,Y,Y,Y
Liiv SANDBOX,Nongshim RedForce,27/02/2022,0.438,0.511,0.403,Nongshim RedForce,Liiv SANDBOX,Nongshim RedForce,Y,N,Y
