left_win,kills_per_game, deaths_per_game, game_length, ckpm, gpr, gspd, gd15, firstblood, firsttower, first3towers, turret_plates_per_game, harold_control_rate, firstdragon, dragon_control_rate, elder_control_rate, baron_control_rate, firstbaron, cs_share, jng_share, wards_per_minute, control_wards_purchased_per_minute, wards_cleared_per_minute,kills_per_game, deaths_per_game, game_length, ckpm, gpr, gspd, gd15, firstblood, firsttower, first3towers, turret_plates_per_game, harold_control_rate, firstdragon, dragon_control_rate, elder_control_rate, baron_control_rate, firstbaron, cs_share, jng_share, wards_per_minute, control_wards_purchased_per_minute, wards_cleared_per_minute
1,22,14,34.416666666666664,1.046,0.5283972307965087,0.00352268,3771.0,1.0,1.0,1.0,11.0,1.0,0.0,0,0.5,1.0,1.0,0.7148703956343793,0.4801864801864802,3.0799,1.4237288135593222,1.4528,14,22,34.416666666666664,1.046,0.4716027692034913,-0.00352268,-3771.0,0.0,0.0,0.0,2.0,0,1.0,1.0,0.5,0.0,0.0,0.7054886211512718,0.5198135198135199,3.2252,1.4237288135593222,1.2785
0,2,13,30.733333333333334,0.4881,0.4343566985210248,-0.141489,-4709.0,0.0,0.0,0.0,2.0,0,1.0,0.25,0.5,0.0,0.0,0.696140350877193,0.5039164490861618,3.3514,0.9436008676789588,1.2039,13,3,30.733333333333334,0.4881,0.5656433014789751,0.141489,4709.0,1.0,1.0,1.0,10.0,1.0,0.0,0.75,0.5,1.0,1.0,0.7572886297376094,0.4960835509138381,2.7983,0.9436008676789588,1.5944
0,6,22,22.483333333333334,1.2009,0.4197939039988416,-0.314189,-5180.0,1.0,0.0,0.0,0.0,0,0.0,0,0.5,0.5,0.0,0.6735966735966736,0.37777777777777777,2.2239,0.9340252038547071,0.8451,21,6,22.483333333333334,1.2009,0.5802060960011584,0.314189,5180.0,0.0,1.0,1.0,9.0,1.0,1.0,1.0,0.5,0.5,0.0,0.7703252032520326,0.6222222222222222,2.98,1.2453669384729429,0.8006
0,7,21,25.683333333333334,1.0902,0.4301034289283408,-0.18241300000000002,-1865.0,0.0,0.0,0.0,3.0,0,1.0,0.3333333333333333,0.5,0.0,0.0,0.6672645739910313,0.4199395770392749,2.3361,1.0512654120700844,1.3238,21,7,25.683333333333334,1.0902,0.5698965710716593,0.18241300000000002,1865.0,1.0,1.0,1.0,9.0,1.0,0.0,0.6666666666666666,0.5,1.0,1.0,0.7420212765957447,0.5800604229607251,2.6087,0.9733939000648929,0.7787
0,10,13,38.13333333333333,0.6031,0.46550160507867044,-0.100914,-3863.0,0.0,0.0,0.0,1.0,0,0.0,0.4,0.5,0.0,0.0,0.7342541436464088,0.4805447470817121,3.2517,1.3898601398601398,1.7045,13,10,38.13333333333333,0.6031,0.5344983949213296,0.100914,3863.0,1.0,1.0,1.0,4.0,1.0,1.0,0.6,0.5,1.0,1.0,0.7063875469672571,0.519455252918288,4.3007,1.4423076923076923,1.8094
1,15,10,32.083333333333336,0.7792,0.5338777097307281,0.112822,1144.0,1.0,1.0,1.0,9.0,1.0,0.0,0.8,0.5,0.5,0.0,0.7263007840342124,0.5111111111111111,3.0545,1.122077922077922,0.9662,10,15,32.083333333333336,0.7792,0.4661222902692719,-0.112822,-1144.0,0.0,0.0,0.0,2.0,0,1.0,0.2,0.5,0.5,1.0,0.6463331048663468,0.4888888888888889,2.2753,0.6233766233766234,0.7481
1,29,9,28.966666666666665,1.3119,0.5719491908420435,0.176766,1822.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.5,1.0,1.0,0.7016393442622951,0.5496894409937888,2.6582,1.0701956271576525,1.0357,9,29,28.966666666666665,1.3119,0.42805080915795646,-0.176766,-1822.0,0.0,0.0,0.0,2.0,0,0.0,0,0.5,0.0,0.0,0.7556719022687609,0.4503105590062112,2.6928,0.9321058688147297,1.0357
0,4,28,23.4,1.3675,0.4059314720220185,-0.328923,-4784.0,0.0,0.0,0.0,6.0,0,0.0,0,0.5,0.0,0.0,0.6941544885177453,0.41935483870967744,2.2222,0.811965811965812,0.812,28,4,23.4,1.3675,0.5940685279779815,0.328923,4784.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,0.5,1.0,1.0,0.7320525783619818,0.5806451612903226,2.5641,0.8547008547008548,0.8974
0,12,27,33.016666666666666,1.1812,0.4611346557330458,-0.0917278,-2088.0,1.0,1.0,0.0,7.0,1.0,1.0,0.2,0.5,0.0,0.0,0.668279198341396,0.4953271028037383,2.1201,0.6966178697627461,0.8178,27,12,33.016666666666666,1.1812,0.5388653442669542,0.0917278,2088.0,0.0,0.0,1.0,5.0,0,0.0,0.8,0.5,1.0,1.0,0.7312365975696926,0.5046728971962616,2.3019,0.7874810701665825,1.0904
1,23,7,20.966666666666665,1.4308,0.5868999365457582,0.289105,5255.0,0.0,1.0,1.0,9.0,1.0,1.0,1.0,0.5,0.5,0.0,0.819954128440367,0.6349206349206349,2.4801,0.9538950715421305,0.7631,7,23,20.966666666666665,1.4308,0.4131000634542417,-0.289105,-5255.0,1.0,0.0,0.0,1.0,0,0.0,0,0.5,0.5,0.0,0.6140155728587319,0.36507936507936506,2.0032,0.7631160572337043,0.4769
