1,0.50575,0.7612
2,0.52955,0.7626
3,0.53029,0.7182
4,0.54514,0.7214
5,0.53397,0.7505
6,0.46463,0.8118
7,0.30965,0.9055
8,0.19292,0.9321
9,0.44281,0.8588
10,0.13517,0.9509
11,0.18578,0.9341
12,0.25104,0.9273
13,0.12837,0.9486
14,0.21506,0.9252
15,0.10813,0.9601
16,0.19068,0.9391
17,0.12266,0.9434
18,0.10463,0.9613
19,0.19002,0.9477
20,0.10226,0.9641
21,0.24884,0.9297
22,0.29116,0.9155
23,0.24201,0.9207
24,0.19992,0.9054
25,0.14260,0.9615
26,0.14925,0.9386
27,0.13027,0.9517
28,0.21866,0.9212
29,0.20857,0.9307
30,0.21326,0.9246
31,0.12693,0.9506
32,0.17657,0.9365
33,0.12894,0.9535
34,0.12268,0.9546
35,0.23352,0.9126
36,0.15242,0.9448
37,0.16307,0.9516
38,0.12565,0.959
39,0.10560,0.9597
40,0.14865,0.9409
41,0.11413,0.962
42,0.23686,0.9132
43,0.30898,0.893
44,0.13058,0.9629
45,0.12324,0.9533
46,0.16887,0.9185
47,0.18733,0.94
48,0.11332,0.9614
49,0.11614,0.9529
50,0.11133,0.9615
51,0.35111,0.8718
52,0.31084,0.9075
53,0.25274,0.9145
54,0.12854,0.9536
55,0.34349,0.8987
56,0.22631,0.922
57,0.10911,0.9637
58,0.27654,0.9113
59,0.22858,0.9211
60,0.18408,0.9316
61,0.13914,0.9494
62,0.20751,0.9242
63,0.12548,0.949
64,0.08868,0.9581
65,0.09795,0.9587
66,0.18420,0.9481
67,0.11989,0.963
68,0.19389,0.9239
69,0.12528,0.9452
70,0.13618,0.9379
71,0.18895,0.9509
72,0.10745,0.9742
73,0.10141,0.9658
74,0.13943,0.9524
75,0.15354,0.9524
76,0.13098,0.9565
77,0.08489,0.9665
78,0.13234,0.9563
79,0.07279,0.975
80,0.10449,0.9665
81,0.20539,0.9436
82,0.14632,0.9525
83,0.16186,0.9468
84,0.11509,0.9571
85,0.17810,0.9297
86,0.30529,0.8828
87,0.14095,0.9438
88,0.16357,0.9356
89,0.15194,0.9385
90,0.13767,0.9554
91,0.12959,0.9563
92,0.21584,0.9322
93,0.10871,0.9555
94,0.11593,0.9614
95,0.09051,0.9664
96,0.11994,0.962
97,0.12366,0.9668
98,0.15303,0.9511
99,0.12283,0.9529
100,0.13016,0.9511
